,發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序,車種,天候,光線,道路類別,速限,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,X,Y
123,109,1,2,7,30,2,05中正區,中正區汀州路3段與師大路口,0,0,1,1,C03,8,1,5,50,5,1,1,5,4,5,7,1,1,9,4,5,2,11,1,36.0,2.0,9.0,1.0,1.0,7.0,6.0,1.0,10.0,2.0,11.0,17.0,17,1.0,22.0,9.0,121.5253743,25.02083707
124,109,1,2,7,30,2,05中正區,中正區汀州路3段與師大路口,0,0,1,2,B03,8,1,5,50,5,1,1,5,4,5,7,1,1,9,4,5,2,11,2,42.0,3.0,10.0,1.0,1.0,7.0,6.0,1.0,8.0,2.0,5.0,44.0,17,1.0,22.0,9.0,121.5253743,25.02083707
127,109,1,2,8,0,2,05中正區,中正區博愛路與寶慶路口,0,0,1,1,B01,8,1,5,50,4,1,1,5,4,5,7,1,1,10,4,5,2,16,1,69.0,3.0,10.0,1.0,1.0,7.0,5.0,1.0,4.0,1.0,7.0,43.0,43,1.0,22.0,9.0,121.5114221,25.041191
128,109,1,2,8,0,2,05中正區,中正區博愛路與寶慶路口,0,0,1,2,C03,8,1,5,50,4,1,1,5,4,5,7,1,1,10,4,5,2,16,2,47.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,26.0,43,1.0,22.0,9.0,121.5114221,25.041191
129,109,1,2,8,0,2,05中正區,中正區博愛路與寶慶路口,0,0,1,3,H02,8,1,5,50,4,1,1,5,4,5,7,1,1,10,4,5,2,16,1,4.0,4.0,11.0,1.0,1.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,43,1.0,22.0,9.0,121.5114221,25.041191
134,109,1,2,8,8,2,05中正區,中正區中華路2段與泉州街34巷口,0,0,2,1,C03,8,1,5,50,3,2,1,5,4,5,7,4,4,9,5,5,1,17,2,48.0,2.0,9.0,1.0,1.0,7.0,5.0,1.0,10.0,2.0,11.0,8.0,8,1.0,22.0,9.0,121.5115196,25.02427436
135,109,1,2,8,8,2,05中正區,中正區中華路2段與泉州街34巷口,0,0,2,2,C03,8,1,5,50,3,2,1,5,4,5,7,4,4,9,5,5,1,17,2,36.0,2.0,7.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,11.0,4.0,8,1.0,22.0,9.0,121.5115196,25.02427436
136,109,1,2,8,8,2,05中正區,中正區中華路2段與泉州街34巷口,0,0,2,3,H02,8,1,5,50,3,2,1,5,4,5,7,4,4,9,5,5,1,17,1,5.0,3.0,10.0,1.0,5.0,7.0,20.0,8.0,20.0,10.0,16.0,67.0,8,1.0,22.0,9.0,121.5115196,25.02427436
162,109,1,2,9,0,2,05中正區,中正區中山南路與濟南路1段口口,0,0,2,1,C03,8,1,5,50,3,2,1,5,4,5,7,2,1,9,4,5,1,16,2,24.0,2.0,8.0,1.0,1.0,7.0,6.0,1.0,10.0,1.0,12.0,9.0,9,1.0,21.0,1.0,121.519078,25.04329678
163,109,1,2,9,0,2,05中正區,中正區中山南路與濟南路1段口口,0,0,2,2,C03,8,1,5,50,3,2,1,5,4,5,7,2,1,9,4,5,1,16,2,32.0,2.0,9.0,1.0,1.0,7.0,9.0,1.0,10.0,1.0,11.0,23.0,9,1.0,21.0,1.0,121.519078,25.04329678
229,109,1,2,12,43,2,05中正區,中正區重慶南路3段88號與重慶南路3段口88號迴轉道,0,0,1,1,B01,8,1,5,50,3,1,1,5,4,5,7,4,4,9,4,5,2,12,1,63.0,3.0,10.0,1.0,1.0,7.0,5.0,5.0,18.0,2.0,4.0,8.0,8,1.0,22.0,9.0,121.5161952,25.02602023
230,109,1,2,12,43,2,05中正區,中正區重慶南路3段88號與重慶南路3段口88號迴轉道,0,0,1,2,C03,8,1,5,50,3,1,1,5,4,5,7,4,4,9,4,5,2,12,1,38.0,2.0,8.0,1.0,1.0,7.0,9.0,1.0,10.0,2.0,12.0,44.0,8,1.0,22.0,9.0,121.5161952,25.02602023
249,109,1,2,14,29,2,05中正區,中正區南海路與泉州街口附近,0,0,1,1,B01,8,1,5,50,3,2,1,5,4,5,7,3,1,10,4,5,1,12,1,62.0,3.0,10.0,1.0,1.0,7.0,7.0,1.0,4.0,2.0,4.0,23.0,23,1.0,22.0,9.0,121.5137294,25.03174843
